"reference","isDeprecatedLicenseId","detailsUrl","referenceNumber","name","licenseId","seeAlso","isOsiApproved","isFsfLibre"
"https://spdx.org/licenses/Glide.html",FALSE,"https://spdx.org/licenses/Glide.json",211,"3dfx Glide License","Glide","http://www.users.on.net/~triforce/glidexp/COPYING.txt",FALSE,NA
"https://spdx.org/licenses/Glulxe.html",FALSE,"https://spdx.org/licenses/Glulxe.json",400,"Glulxe License","Glulxe","https://fedoraproject.org/wiki/Licensing/Glulxe",FALSE,NA
"https://spdx.org/licenses/GLWTPL.html",FALSE,"https://spdx.org/licenses/GLWTPL.json",259,"Good Luck With That Public License","GLWTPL","https://github.com/me-shaon/GLWTPL/commit/da5f6bc734095efbacb442c0b31e33a65b9d6e85",FALSE,NA
"https://spdx.org/licenses/gnuplot.html",FALSE,"https://spdx.org/licenses/gnuplot.json",175,"gnuplot License","gnuplot","https://fedoraproject.org/wiki/Licensing/Gnuplot",FALSE,TRUE
"https://spdx.org/licenses/GPL-1.0.html",TRUE,"https://spdx.org/licenses/GPL-1.0.json",252,"GNU General Public License v1.0 only","GPL-1.0","https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html",FALSE,NA
"https://spdx.org/licenses/GPL-1.0+.html",TRUE,"https://spdx.org/licenses/GPL-1.0+.json",456,"GNU General Public License v1.0 or later","GPL-1.0+","https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html",FALSE,NA
"https://spdx.org/licenses/GPL-1.0-only.html",FALSE,"https://spdx.org/licenses/GPL-1.0-only.json",449,"GNU General Public License v1.0 only","GPL-1.0-only","https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html",FALSE,NA
"https://spdx.org/licenses/GPL-1.0-or-later.html",FALSE,"https://spdx.org/licenses/GPL-1.0-or-later.json",360,"GNU General Public License v1.0 or later","GPL-1.0-or-later","https://www.gnu.org/licenses/old-licenses/gpl-1.0-standalone.html",FALSE,NA
"https://spdx.org/licenses/GPL-2.0.html",TRUE,"https://spdx.org/licenses/GPL-2.0.json",541,"GNU General Public License v2.0 only","GPL-2.0","https://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/GPL-2.0+.html",TRUE,"https://spdx.org/licenses/GPL-2.0+.json",120,"GNU General Public License v2.0 or later","GPL-2.0+","https://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/GPL-2.0-only.html",FALSE,"https://spdx.org/licenses/GPL-2.0-only.json",169,"GNU General Public License v2.0 only","GPL-2.0-only","https://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/GPL-2.0-or-later.html",FALSE,"https://spdx.org/licenses/GPL-2.0-or-later.json",459,"GNU General Public License v2.0 or later","GPL-2.0-or-later","https://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/GPL-2.0-with-autoconf-exception.html",TRUE,"https://spdx.org/licenses/GPL-2.0-with-autoconf-exception.json",246,"GNU General Public License v2.0 w/Autoconf exception","GPL-2.0-with-autoconf-exception","http://ac-archive.sourceforge.net/doc/copyright.html",FALSE,NA
"https://spdx.org/licenses/GPL-2.0-with-bison-exception.html",TRUE,"https://spdx.org/licenses/GPL-2.0-with-bison-exception.json",77,"GNU General Public License v2.0 w/Bison exception","GPL-2.0-with-bison-exception","http://git.savannah.gnu.org/cgit/bison.git/tree/data/yacc.c?id=193d7c7054ba7197b0789e14965b739162319b5e#n141",FALSE,NA
"https://spdx.org/licenses/GPL-2.0-with-classpath-exception.html",TRUE,"https://spdx.org/licenses/GPL-2.0-with-classpath-exception.json",512,"GNU General Public License v2.0 w/Classpath exception","GPL-2.0-with-classpath-exception","https://www.gnu.org/software/classpath/license.html",FALSE,NA
"https://spdx.org/licenses/GPL-2.0-with-font-exception.html",TRUE,"https://spdx.org/licenses/GPL-2.0-with-font-exception.json",159,"GNU General Public License v2.0 w/Font exception","GPL-2.0-with-font-exception","https://www.gnu.org/licenses/gpl-faq.html#FontException",FALSE,NA
"https://spdx.org/licenses/GPL-2.0-with-GCC-exception.html",TRUE,"https://spdx.org/licenses/GPL-2.0-with-GCC-exception.json",398,"GNU General Public License v2.0 w/GCC Runtime Library exception","GPL-2.0-with-GCC-exception","https://gcc.gnu.org/git/?p=gcc.git;a=blob;f=gcc/libgcc1.c;h=762f5143fc6eed57b6797c82710f3538aa52b40b;hb=cb143a3ce4fb417c68f5fa2691a1b1b1053dfba9#l10",FALSE,NA
"https://spdx.org/licenses/GPL-3.0.html",TRUE,"https://spdx.org/licenses/GPL-3.0.json",30,"GNU General Public License v3.0 only","GPL-3.0","https://www.gnu.org/licenses/gpl-3.0-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/GPL-3.0+.html",TRUE,"https://spdx.org/licenses/GPL-3.0+.json",550,"GNU General Public License v3.0 or later","GPL-3.0+","https://www.gnu.org/licenses/gpl-3.0-standalone.html",TRUE,TRUE
"https://spdx.org/licenses/GPL-3.0-only.html",FALSE,"https://spdx.org/licenses/GPL-3.0-only.json",186,"GNU General Public License v3.0 only","GPL-3.0-only","https://www.gnu.org/licenses/gpl-3.0-standalone.html",TRUE,TRUE
