name,category,link,topics,country,region_africa,region_asia,region_easteurope,region_latinamerica,region_westeurope,year_start,year_end,availability,registration,license,file_codebook,file_csv,file_dta,file_sav,file_excel,file_r,file_zip,variable_countryname,variable_year,variable_cow,doi_article,doi_dataset,revised,note
Raw data from online personality tests,other,https://openpsychometrics.org/_rawdata/,personality,,1,1,1,1,1,2011,2018,online,no,,,,,,,,,,,,,,20181210,
Real effective exchange rates,economics,https://www.bruegel.org/publications/datasets/real-effective-exchange-rates-for-178-countries-a-new-database,"nominal effective exchange rates, consumer price index",,1,1,1,1,1,1960,2023,online,no,,,,,,,,,Country name,,,,,20230518,
Rebel Appeals and Incentives Dataset,international relations,https://www.michaelsoules.com/general-5,"rebel appeals, incentives, ideology",,1,1,1,1,1,1989,2011,online,no,,,,,,,,,,start_year,,10.1177/00220027231154813,,20230203,
Rebel Contraband Dataset,international relations,http://civilwardynamics.org/data/,"civil war, crime, natural resources, resource curse",,1,1,1,1,1,1990,2015,online,mail,,http://www.jamesigoewalsh.com/RCD_Codebook_Version_0_9.pdf,,,,,,,sidea,year,,10.1177/0022343317740621,,20190125,
Rebel Foreign Fighter Dataset,international relations,https://doi.org/10.1177/00223433231168183,"civil war, foreign fighters",,1,1,1,1,1,1989,2011,online,no,,,,,,,,https://cdn.cloud.prio.org/files/96508449-5b63-4d50-8985-07da528ed64a/Schwartz_ReplicationData.zip,location,year,,10.1177/00223433231168183,,20231026,
Rebel Human Rights Violations,international relations,https://doi.org/10.1177/00223433221147940,"international human rights, rebel groups, civil war",,1,1,1,1,1,1990,2020,online,no,,,,,,,,,sidea,year,,10.1177/00223433221147940,10.7910/DVN/KT3PZS,20230321,
Rebel Organization Leaders Database,international relations,https://www.rebelleaders.org/,rebel leaders,,1,1,1,1,1,1964,2012,online,no,,,,,,,,,stname,year,,10.1177/00223433221077920,,20221014,
Refugee Resettlement Data,other,https://www.refugeeresettlementdata.com/data.html,"refugee, resettlement",US,0,0,0,0,1,1975,2018,online,no,,,,https://www.refugeeresettlementdata.com/uploads/4/2/0/7/42073955/orr_prm_1975_2018_v1.dta,,,,,,year,,,,20220814,
Regional Authority Index,other,https://www.arjanschakel.nl/index.php/regional-authority-index,"fiscal authority, regional authority",,0,1,1,0,1,1950,2016,online,no,,https://www.arjanschakel.nl/images/RAI/RAI_country_scores_2015_codebook.pdf,,,,https://www.arjanschakel.nl/images/RAI/RAI_2018_country_scores.xlsx,,,country_name,year,,,,20210623,
Regional Manifestos Project,parties and politicians,http://www.regionalmanifestosproject.com/ingles/download-dataset,"manifesto, positional scales, regional elections",,0,0,0,0,1,1968,2017,online,form,,,,,,,,,Country,Election_year,,10.1080/13597566.2012.754351,,20181205,
Regular Turnover Details,international relations,https://doi.org/10.1177/00223433211045854,"comparative politics, domestic politics, international relations, leader survival",,1,1,1,1,1,1960,2015,online,no,,,,,,,,,Country,endyear,,10.1177/00223433211045854,,20220308,
Relative Political Capacity Dataset,governance,https://doi.org/10.7910/DVN/NRR7MB,"government performance, government efficiency, political capacity, state capacity",,1,1,1,1,1,1960,2018,online,no,,,,,,,,,country,year,cowcode,,,20230923,
Religion Adherence Data,other,https://scholar.harvard.edu/barro/publications/religion-adherence-data,,,1,1,1,1,1,1900,2000,online,no,,,,,,https://scholar.harvard.edu/files/barro/files/7_religion_adherence_data.xls,,,Country,,,,,20180331,
Religion and State Project Constitutions Dataset,constitutions,http://www.thearda.com/archive/files/Descriptions/RASCONS.asp,"seperation of relgion and state, government, religion",,1,1,1,1,1,1990,2008,online,no,,https://www.thearda.com/ARDA/pdf/originalCodebooks/RAS%20Constitutions%20Codebook%201990-2008.pdf,,,,,,,CNAME,,COWCODE,10.1017/S0008423910001046,10.17605/OSF.IO/UDKHJ,20221207,
Reputation of Terror Groups,international relations,http://www.efetokdemir.com/data.html,"terrorist groups, reputations",,1,1,1,1,1,1980,2011,online,no,,http://www.efetokdemir.com/uploads/3/7/3/2/37326045/rtg_dataset_-_codebook.pdf,,http://www.efetokdemir.com/uploads/3/7/3/2/37326045/replicationdatajpr-oldstata.dta,,,,,,year,,10.1177/0022343315626506,,20230923,
Revolutionary Leaders and Revolutions,international relations,https://sites.google.com/site/jeffdcolgan/data,"revolutionary leaders, international conflict",,1,1,1,1,1,1945,2004,online,no,,,,,,,,https://drive.google.com/open?id=0B1RF6I1gJ_FkNVBwUjJYQ0pnYzA,,year,,10.1017/S004388711300021X,,20200411,
Right-Wing Terrorism and Violence,international relations,https://www.sv.uio.no/c-rex/english/rtv/index.html,"right-wing extremism, terrorism, violence",,0,0,0,0,1,1990,2015,online,yes,,https://www.sv.uio.no/c-rex/english/rtv/rtv-dataset-first-version/rtv-codebook.pdf,,,,https://www.sv.uio.no/c-rex/english/rtv/rtv-dataset-first-version/rtv.public.xlsx,,,,,,,,20190309,Link to Excel dataset is the limited version
Rising Powers Diplomatic Network,international relations,https://doi.org/10.7910/DVN/5FISNQ,"foreign policy, diplomacy, newly industrializing countries, historical analysis, bilateral relations, diplomatic representation, international leading power",,1,1,1,1,1,1995,2019,online,no,,,,,,,,,host_name,year,,,10.7910/DVN/5FISNQ,20200619,
Roll Call Votes in the European Parliament,parties and politicians,http://personal.lse.ac.uk/hix/HixNouryRolandEPdata.HTM,"roll-call voting, legislative behavior, members of parliament",,0,0,1,0,1,1979,2009,online,no,,,,,,,,,,,,10.1098/rstb.2008.0263,,20221207,
Rosés-Wolf database on regional GDP,economics,https://www.wiwi.hu-berlin.de/de/professuren/vwl/wg/resources/roses-wolf-database-on-regional-gdp,"regional inequality, gdp",,0,0,0,0,1,1900,2010,online,no,,https://www.wiwi.hu-berlin.de/de/professuren/vwl/wg/resources/roses-wolf-database-on-regional-gdp/cepr-dp12749.pdf,https://www.wiwi.hu-berlin.de/de/professuren/vwl/wg/resources/roses-wolf-database-on-regional-gdp/roseswolf_regionalgdp_csv.csv,https://www.wiwi.hu-berlin.de/de/professuren/vwl/wg/resources/ross-wolf-database-on-regional-gdp/roseswolf_regionalgdp.dta,,https://www.wiwi.hu-berlin.de/de/professuren/vwl/wg/resources/ross-wolf-database-on-regional-gdp/roseswolf_regionalgdp.xlsx,,https://www.wiwi.hu-berlin.de/de/professuren/vwl/wg/resources/roses-wolf-database-on-regional-gdp/roseswolf_regionalgdp_shapefile.zip,country,year,,,,20181214,
Rule of Law Index,political institutions,https://worldjusticeproject.org/our-work/wjp-rule-law-index/wjp-rule-law-index-2016/current-historical-data,,,,,,,,,,public archive,"free, online",,,,,,,,,,,,,,,
"Rulers, Elections, and Irregular Governance",international relations,https://oefdatascience.github.io/REIGN.github.io/,"political leaders, leader characteristics",,1,1,1,1,1,1950,2019,online,no,,https://cdn.rawgit.com/OEFDataScience/REIGN.github.io/gh-pages/documents/reign_codebook.pdf,,,,,,,country,year,,,,20190312,
Scottish Election Study,citizens,https://scottishelections.ac.uk/,"political attitudes, voting behavior, political participation, socio-demographic characteristics",GB,0,0,0,0,1,1999,2019,online,no,,,,,,,,,,,,,,20210606,
Scottish Party Election Manifestos,parties and politicians,https://doi.org/10.7910/DVN/PH8XZO,election manifesto,GB,0,0,0,0,1,1999,2016,online,no,,,,,,,,,,,,10.1080/17457289.2020.1727486,10.7910/DVN/PH8XZO,20210606,
Seki-Williams Governments Dataset,cabinets and parliaments,https://doi.org/10.7910/DVN/0UNUAM,"governments, cabinets, ministers, stability, duration",,0,1,1,0,1,1944,2014,online,no,,,,,,,,,country,ts,,10.1016/j.electstud.2013.10.001,10.7910/DVN/0UNUAM,20230831,
Select American State Party Platforms,parties and politicians,https://doi.org/10.7910/DVN/KNOSHL,"political parties, American states",US,0,0,0,0,1,1846,2017,online,no,,,,,,,,,,,,,10.7910/DVN/KNOSHL,20220124,
Serious Nuclear and Radiological Incidents,other,https://hegghammer.com/resources/,"nuclear incidents, radiological incidents",,1,1,1,1,1,1960,2013,online,no,,,,,,https://hegghammer.files.wordpress.com/2019/08/nr-incidents-dataset-1960-2013-v1.0.xlsx,,,Country,Year,,,,20210625,
Sexual Violence in Armed Conflict,international relations,http://www.sexualviolencedata.org/dataset/,"conflict-related sexual violence, armed conflict actors, government military, state military, insurgent forces",,1,1,1,1,1,1989,2021,online,no,,http://www.sexualviolencedata.org/wp-content/uploads/2021/05/SVAC-3.0-Coding-Manual_020121.pdf,,,,http://www.sexualviolencedata.org/wp-content/uploads/2023/05/SVAC_3.2_complete.xlsx,,,location,year,,10.1177/0022343314523028,,20230908,
Short-term Campaign Panel,citizens,https://doi.org/10.4232/1.13129,political attitudes,DE,0,0,0,0,1,2013,2018,online,yes,,,,,,,,,,,,,10.4232/1.13129,20180830,
Significant Incidents Against Americans Abroad,international relations,https://doi.org/10.7910/DVN/RL15CN,"political violence, terrorism, anti-americanism",,1,1,1,1,1,1987,2015,online,no,CC-BY-1.0,,,,,,,,Country,Year,,10.1080/03050629.2023.2286448,10.7910/DVN/RL15CN,20231210,
Slovak Election Data Project,citizens,https://sites.google.com/site/marekhlavac/slovak_election_data_project,,SK,0,0,1,0,0,2002,2016,online,no,,https://2c37f5cd-a-62cb3a1a-s-sites.googlegroups.com/site/mhfilestorage/SEDP%20-%20Slovakia%20Parliamentary%20Election%202016%20-%20Documentation.pdf,,,,,,,,,,,,20181225,
Snap Political Ads Library,media,https://www.snap.com/en-US/political-ads/,"political ads, snapchat",,1,1,1,1,1,2018,2019,online,no,,,,,,,,https://storage.googleapis.com/ad-manager-political-ads-dump/political/2019/PoliticalAds.zip,CountryCode,,,,,20190917,
"Social Assistance, Politics, and Institutions database",policy,https://www.wider.unu.edu/project/sapi-social-assistance-politics-and-institutions-database,social assistance,,1,1,0,1,0,1993,2017,online,no,,https://www.wider.unu.edu/sites/default/files/Data/SAPI-Userguide-and-codebook.pdf,,,,https://www.wider.unu.edu/sites/default/files/Data/SAPI-2018.xls,,https://www.wider.unu.edu/sites/default/files/SAPI-2018.zip,country,year,,,,20180923,The zip file contains Stata file
Social Capital Atlas,other,https://opportunityinsights.org/data/,social capital,US,0,0,0,0,1,2022,2022,online,no,,,,,,,,,,,,10.1038/s41586-022-04996-4,,20220814,
Social Citizenship Indicator Program,policy,http://www.spin.su.se/datasets/scip,"social insurance, old age pensions, unemployment",,0,0,0,0,1,1930,2005,online,yes,,,,,,,,,,,,,,20220920,
Social Conflict Analysis Database,international relations,https://www.strausscenter.org/scad.html,social conflict,,1,0,0,1,0,1989,2017,online,no,,https://www.strausscenter.org/wp-content/uploads/SCAD_33_Codebook.pdf,,,,,,,countryname,styr,,10.1080/03050629.2012.697426,,20230907,
Social Security Database,policy,https://www.hsph.harvard.edu/david-canning/data-sets/,"social security systems, universal coverage, replacement rate, retirement incentive",,1,1,1,1,1,1950,2002,online,no,,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/241/2012/10/Read_Me_-_Social_Security_Dataset.doc,,,,https://cdn1.sph.harvard.edu/wp-content/uploads/sites/241/2012/10/social_security_data_-_savings.xls,,,country,Year,,10.1016/j.jmoneco.2006.12.004,,20180529,
Spanish Electoral Archive,elections,http://sea.uv.es/gipeyop/sea.html,"local elections, regional elections, general elections, european elections",ES,0,0,0,0,1,1979,2019,online,no,,,,,,,,,,,,10.1038/s41597-021-00975-y,10.7910/DVN/0GPRYW,20210923,
Spanish National Election Study,citizens,http://www.cis.es/cis/opencm/ES/1_encuestas/TiposEncuestas/EncuestasElectorales/eleccionescongreso.jsp,"Political attitudes, political participation, socio-demographic characteristics",ES,0,0,0,0,1,1977,2019,online,online form,,,,,,,,,,,,,,20210502,
Standardized World Income Inequality Database,economics,https://fsolt.org/swiid/,income inequality,,1,1,1,1,1,1960,2021,online,no,,https://fsolt.org/papers/solt2016_pre.pdf,,,,,,,country,year,,10.1111/ssqu.12295,1902.1/11992,20221122,
State Antiquity Index,other,https://sites.google.com/brown.edu/louis-putterman,state antiquity,,1,1,1,1,1,1,1950,online,no,,,,,,,,,wbname,,,10.1023/A:1020827801137,,20230906,
State Democracy Index,democracy,https://sites.google.com/view/jakegrumbach/state-democracy-index,"electoral democracy, liberal democracy",US,0,0,0,0,1,2000,2018,online,no,,,,,,,,,,year,,,,20220715,
State Executive Approval Database,citizens,https://doi.org/10.15139/S3/QHHQEF,"governors, gubernatorial, approval ratings, state-level polls",US,0,0,0,0,1,1947,2020,online,no,,,,,,,,,,year,,10.1017/spq.2023.11,10.15139/S3/QHHQEF,20230920,
State Failure Problem Set,international relations,http://www.systemicpeace.org/inscrdata.html,"ethnic war, revolutionary war, adverse regime change, genocide",,1,1,1,1,1,1955,2018,online,no,,http://www.systemicpeace.org/inscr/PITFProbSetCodebook2018.pdf,,,,,http://www.systemicpeace.org/inscr/PITF%20Adverse%20Regime%20Change%202018.xls,,COUNTRY,YEAR,,,,20221205,
State Fragility Index,international relations,http://www.systemicpeace.org/inscrdata.html,"state fragility, state effectiveness, state legitimacy",,1,1,1,1,1,1995,2018,online,no,,,,,http://www.systemicpeace.org/inscr/SFIv2018.sav,,http://www.systemicpeace.org/inscr/SFIv2018.xls,,country,year,,,,20221205,
State Legislator Shor-McCarty Ideology Data,parties and politicians,https://americanlegislatures.com/data/,"state legislators, ideology",US,0,0,0,0,0,1993,2016,online,no,,,,,,,,,,,,10.1017/S0003055411000153,10.7910/DVN/6QWX7Q,20191021,
State Networks,other,https://ippsr.msu.edu/public-policy/state-networks,"economics, policy diffusion",US,0,0,0,0,1,,2019,online,no,,https://ippsr.msu.edu/sites/default/files/state_networks/state_networks_codebook.pdf,https://ippsr.msu.edu/sites/default/files/state_networks/statenetworks.csv,,,https://ippsr.msu.edu/sites/default/files/state_networks/statenetworks.xlsx,,,,,,,,20190917,
State Policy Innovation and Diffusion,policy,https://dataverse.harvard.edu/dataverse/spid,"public policy, policy diffusion, innovativeness",US,0,0,0,0,1,1691,2017,online,no,,,,,,,,,,adopt_year,,,10.7910/DVN/CVYSR7,20180508,Data information is from the policy adoption data.
State Reach in Africa,governance,http://www.carlmueller-crepon.org/project/statecap_data/,"state capacity, GIS, travel time",,1,0,0,0,0,1966,2016,online,no,,,,,,,,,,,,10.1017/psrm.2021.60,,20211127,
State Security Forces dataset,international relations,http://www.ericadebruin.com/#security-force-data,"coup-proofing, military organization, militia, paramilitary, police, security forces",,1,1,1,1,1,1960,2010,online,no,,,,,,,,,,year,ccode,10.1177/0022343320913089,,20200822,
State-by-State Spending on Kids,policy,https://datacatalog.urban.org/dataset/state-state-spending-kids-dataset,"education, public spending, income security, health, safety net",US,0,0,0,0,1,1997,2016,online,no,,,,,,https://urban-data-catalog.s3.amazonaws.com/drupal-root-live/2020/08/31/State-by-State%20Spending%20on%20Kids_0.xlsx,,,,,,,,20201118,
State-level climate concern,citizens,https://www.parrishb.com/data,climate change,US,0,0,0,0,1,1999,2017,online,no,,,https://www.parrishb.com/s/bergquistwarshaw_climate.csv,,,,,,,period,,10.1086/701766,,20200718,
Studying Immigrant Policy One Law at a Time,policy,https://doi.org/10.7910/DVN/F8YTX2,"immigrant policy, legislation",US,0,0,0,0,1,2005,2016,online,no,,,,,,,,,,,,10.1111/psj.12359,10.7910/DVN/F8YTX2,20190924,
Subnational Trade Competitiveness,economics,https://doi.org/10.7910/DVN/BWRGUR,"trade agreements, environment",,1,1,1,1,1,1999,2019,online,no,,,,,,,,,,year,,10.1038/s41597-023-02205-z,10.7910/DVN/BWRGUR,20230622,
"Survey of Health, Ageing and Retirement in Europe",citizens,http://www.share-project.org/data-documentation/share-data-releases.html,"health, ageing, retirement",,0,0,0,0,1,2010,2022,online,yes,,,,,,,,,,,,,,20221204,
Survey of Income and Program Participation,citizens,https://www.census.gov/programs-surveys/sipp/data/datasets.html,"financial well-being, family dynamics, educational attainment, housing expenditures, asset ownership, health insurance, disability, child care, and food security",US,0,0,0,0,1,1984,2014,online,no,,,,,,,,,,,,,,20191120,
Survey of the Incarcerated,citizens,https://github.com/themarshallproject/incarcerated_survey,political attitudes,US,0,0,0,0,1,2019,2020,online,no,,,https://github.com/themarshallproject/incarcerated_survey/raw/master/data/incarcerated_survey_responses-marshallproject_slate-march_2019.csv,,,,,,,,,,,20200325,
Swedish National Election Studies,citizens,https://www.gu.se/en/swedish-national-election-studies/the-studies/election-studies,"political attitudes, voting behavior, political participation, socio-demographic characteristics",SE,0,0,0,0,1,1956,2019,online,yes,,https://www.gu.se/sites/default/files/2020-12/Codebook%20CSES%202018.pdf,,,,,,,,,,,,20221123,
Swedish parliamentary proceedings,political speeches and debates,https://github.com/welfare-state-analytics/riksdagen-corpus,"parlimentary proceedings, parliamentary debates",SE,0,0,0,0,1,1867,2023,online,no,,,,,,,,,,,,,,20230531,
SwedishPolls,citizens,https://github.com/MansMeg/SwedishPolls,opinion polls,SE,0,0,0,0,1,1998,2022,online,no,,,https://raw.githubusercontent.com/MansMeg/SwedishPolls/master/Data/Polls.csv,,,,,,,,,,,20220919,
Swiss Electoral Studies,citizens,http://forscenter.ch/en/our-surveys/selects/1993-2/,"political attitudes, voting behavior, political participation, socio-demographic characteristics",CH,0,0,0,0,1,1971,2015,online,yes,,,,,,,,,,,,,,20180402,
Swiss Household Panel,citizens,https://forscenter.ch/projects/swiss-household-panel/,"political attitudes, voting behavior, political participation, socio-demographic characteristics",CH,0,0,0,0,1,1999,2022,online,yes,,,,,,,,,,,,,,20221121,
Systemic Banking Crises Database,economics,https://www.imf.org/en/Publications/WP/Issues/2016/12/31/Systemic-Banking-Crises-Database-An-Update-26015,"bank restructuring, banking crisis, crisis resolution, deposit insurance, developed countries, emerging markets, financial crisis, fiscal policy, monetary policy, sovereign debt",,1,1,1,1,1,1970,2011,online,no,,,,,,,,,,,,,,20190821,
Tasks Assigned to Missions in their Mandates,international relations,https://doi.org/10.1177%2F0022343320980822,"mission mandates, peacekeeping, United Nations",,1,1,1,1,1,1948,2015,online,no,,,,,,,,,,year,ccode,10.1177/0022343320980822,,20220312,
Tax Introduction Database,policy,http://tid.seelkopf.eu/,"fiscal sociology, tax introduction, economic development, war, democratization, globalization, state building",,1,1,1,1,1,1750,2018,online,no,,http://tid.seelkopf.eu/resources/Codebook_TID_May2019.pdf,,,,,,http://tid.seelkopf.eu/resources/TID_full.zip,country,year,,10.1007/s11558-019-09359-9,,20190612,
Telecommunications Ownership and Control,governance,https://doi.org/10.1007/s11558-022-09483-z,"internet, telecommunication",,1,0,0,0,0,2000,2019,online,no,,,,,,,,,country,year,,10.1007/s11558-022-09483-z,,20230125,
"Temporally Extended, Regular, Reproducible International Event Records",international relations,http://terrierdata.org/,"political events, meetings, statements, provision of aid, protests, attacks, violence",,1,1,1,1,1,1979,2016,online,no,,,,,,,,,,,,,,20180927,
Territorial Self-Governance Dataset,governance,https://territorial-governance.com/,"territorial self-governance, autonomy, federalism, regionalism, decentralization, power-sharing",,1,1,1,1,1,2000,2018,online,no,,https://territorialgovernancecom.files.wordpress.com/2020/07/codebook_v1.pdf,,,,https://territorialgovernancecom.files.wordpress.com/2020/07/terrgo-v1-1.xlsx,,https://territorialgovernancecom.files.wordpress.com/2020/07/terrgo_c-and-_u-v1.zip,country_name,year,,10.1080/13597566.2020.1795837,,20200724,
Terrorist and Insurgent Organization Social Services,international relations,https://oefresearch.org/datasets/tios,"conflict management, negotiation, terrorism, international security",,1,1,1,1,1,1980,2015,online,no,,http://oefresearch.org/sites/default/files/TIOS_codebook.pdf,http://oefresearch.org/sites/default/files/TIOS_data.csv,http://oefresearch.org/sites/default/files/TIOS_data.dta,,,,,,,,10.1177/0022002715603451,,20190312,
The Affinity of Nations: Similarity of State Voting Positions in the UNGA,international relations,http://pages.ucsd.edu/~egartzke/datasets.htm,"United Nations General Assembly, state voting, affinity",,1,1,1,1,1,1946,2002,online,no,,http://pages.ucsd.edu/~egartzke/data/affinity_codebook_03102006.pdf,,http://pages.ucsd.edu/~egartzke/data/affinity_03102006.dta,,,,http://pages.ucsd.edu/~egartzke/data/affinity_03102006.zip,,year,,,,20220808,
The American Ideology Project,citizens,http://americanideologyproject.com/,"ideology, representation, policy preferences",US,0,0,0,0,1,2000,2011,online,no,,http://americanideologyproject.com/estimates/estimates2015/codebook.pdf,,,,,,,,,,10.1017/S0022381613000042,,20221027,
The American Panel Survey,citizens,https://wc.wustl.edu/american-panel-survey,,US,0,0,0,0,1,2011,2018,online,no,,,,,,,,,,,,,,20200419,
The Cease-Fires Data Set,international relations,http://www.columbia.edu/~vpf4/research.htm,,,0,1,1,0,1,1946,1994,online,no,,http://www.columbia.edu/~vpf4/CF%20Data%20Notes.pdf,,http://www.columbia.edu/~vpf4/ceasefires.tv.dta,,,,,,,,,,20180602,
The Centre for European Policy Studies EurLex dataset,political institutions,https://doi.org/10.7910/DVN/0EGYWY,"European Union, law, text analysis",,0,0,1,0,1,1952,2019,online,no,,,,,,,,,,,,,10.7910/DVN/0EGYWY,20200227,
